S1	S2
-26.862068965517242	-15.346153846153847
-23.375	-14.153846153846155
18.12121212121212	12.964285714285714
-19.675	-12.602941176470589
-20.172413793103452	-11.509803921568627
-15.793103448275863	-11.137254901960784
-15.583333333333332	-10.809523809523808
-15.90625	-10.035087719298245
-13.566666666666666	-9.547169811320755
17.78125	9.181818181818183
14.35483870967742	8.946428571428571
-13.241379310344827	8.960784313725489
20.08823529411765	8.875
-11.32258064516129	-8.62962962962963
-13.31578947368421	-8.67741935483871
-13.13793103448276	-8.555555555555555
-13.299999999999999	8.509803921568627
-12.588235294117647	-8.465517241379311
18.121951219512194	8.35135135135135
-14.771929824561402	-8.29896907216495
12.172413793103448	8.019607843137255
14.437499999999998	8.036363636363637
15.187499999999998	7.872727272727273
14.3125	7.919354838709677
12.156249999999998	7.824561403508771
-10.193548387096776	-7.698113207547171
-10.047619047619047	-7.626666666666667
14.413793103448276	7.4905660377358485
-13.774193548387098	-7.518518518518517
13.621621621621621	7.384615384615385
10.74193548387097	7.25
10.648648648648647	7.140624999999999
11.088235294117647	7.226415094339623
9.976744186046512	7.138888888888889
-12.176470588235295	-6.918032786885246
-7.933333333333334	-6.9259259259259265
9.310344827586208	6.865384615384616
-10.352941176470589	-6.85
-7.433333333333334	-6.884615384615385
10.306122448979593	6.7594936708860756
-11.59375	-6.6000000000000005
-9.892307692307693	-6.606741573033708
-9.827586206896553	-6.529411764705882
8.874999999999998	6.4375
10.705882352941178	6.3999999999999995
8.324324324324325	6.3809523809523805
10.09375	6.381818181818182
-9.379310344827587	-6.307692307692308
-9.724137931034484	-6.352941176470588
7.866666666666666	6.314814814814814
-11.290322580645162	-6.2941176470588225
10.133333333333333	6.254901960784313
-7.142857142857143	-6.133333333333333
8.0	6.083333333333334
-11.90625	-5.946428571428572
-6.5813953488372094	-6.0
-10.162162162162161	-5.940298507462686
-7.448275862068966	-5.9607843137254894
-8.028169014084506	-5.872727272727274
-8.13793103448276	-5.823529411764706
12.029411764705882	5.813559322033898
-10.75	-5.703703703703703
-8.655172413793105	-5.711538461538462
-9.799999999999999	-5.67741935483871
-9.388888888888888	-5.666666666666667
9.64516129032258	5.648148148148148
9.67741935483871	5.622641509433962
9.6875	5.589285714285714
-10.194444444444446	-5.571428571428571
